snapshot_utc,snapshot_park_datetime,snapshot_park_date,snapshot_timezone,park_id,park_name,land,ride_id,ride_name,is_open,wait_time_minutes,source_last_updated_utc,source_last_updated_park_datetime,source_url
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Paradise Gardens Park,316,The Little Mermaid - Ariel's Undersea Adventure,TRUE,5,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Paradise Gardens Park,14742,World of Color Happiness!,TRUE,0,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Pixar Pier,866,Games of Pixar Pier,FALSE,0,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Pixar Pier,322,Incredicoaster,TRUE,50,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Pixar Pier,10906,Incredicoaster Single Rider,TRUE,0,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Pixar Pier,6643,Inside Out Emotional Whirlwind,TRUE,5,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Pixar Pier,310,Jessie's Critter Carousel,FALSE,0,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Pixar Pier,300,Jumpin' Jellyfish,FALSE,0,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Pixar Pier,311,Pixar Pal-A-Round - Swinging,FALSE,0,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Pixar Pier,5557,Pixar Pal-A-Round – Non-Swinging,FALSE,0,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:00:24.229Z,2026-07-28 22:00:24,2026-07-28,America/Los_Angeles,dca,Disney California Adventure,Pixar Pier,313,Toy Story Midway Mania!,TRUE,35,2026-07-29T04:55:58.000Z,2026-07-28 21:55:58,https://queue-times.com/parks/17/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Adventureland,12428,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Adventureland,326,Indiana Jones™ Adventure,TRUE,50,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Adventureland,296,Jungle Cruise,TRUE,10,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Adventureland,288,Walt Disney's Enchanted Tiki Room,TRUE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Bayou Country,304,Davy Crockett's Explorer Canoes,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Bayou Country,306,The Many Adventures of Winnie the Pooh,TRUE,5,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Bayou Country,14168,Tiana's Bayou Adventure,TRUE,30,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Bayou Country,14326,Tiana's Bayou Adventure Single Rider,TRUE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,307,"""it's a small world""",TRUE,5,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,285,Alice in Wonderland,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,16254,Bluey’s Best Day Ever! at Fantasyland Theatre,TRUE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,303,Casey Jr. Circus Train,TRUE,5,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,275,Dumbo the Flying Elephant,TRUE,15,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,277,King Arthur Carrousel,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,278,Mad Tea Party,TRUE,5,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,279,Matterhorn Bobsleds,TRUE,25,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,6711,Meet Disney Princesses at Royal Hall,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,280,Mr. Toad's Wild Ride,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,281,Peter Pan's Flight,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,282,Pinocchio's Daring Journey,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,687,Sleeping Beauty Castle Walkthrough,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,283,Snow White's Enchanted Wish,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Fantasyland,305,Storybook Land Canal Boats,TRUE,5,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Frontierland,323,Big Thunder Mountain Railroad,TRUE,40,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Frontierland,679,Frontierland Shootin' Exposition,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Frontierland,456,Mark Twain Riverboat,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Frontierland,331,Pirate's Lair on Tom Sawyer Island,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Frontierland,328,Sailing Ship Columbia,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Main Street U.S.A,674,Disneyland Railroad,TRUE,20,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
2026-07-29T05:15:28.414Z,2026-07-28 22:15:28,2026-07-28,America/Los_Angeles,disneyland,Disneyland,Main Street U.S.A,690,Great Moments with Mr. Lincoln,FALSE,0,2026-07-29T05:10:35.000Z,2026-07-28 22:10:35,https://queue-times.com/parks/16/queue_times.json
